L1,L2,L3,L4,L5,L9,Level,UPC,COLUPC,SY,GE,VEND,ITEM,*STUBSPEC 1844RC                                                         00004  ,VOL_EQ,PRODUCT TYPE,COLOR,SIZE,ADDITIVES,NUMBER OF PLY,TYPE OF DISPENSER,NUMBER OF SHEETS
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,H. GEORGE CASPARI INC,H. GEORGE CASPARI INC,CASPARI,+CSRI2 PRINT FCLTS 4PLY 10CT,9,00-01-25096-57570,12509657570,, 1,25096,57570,        +CSRI2 PRINT FCLTS 4PLY     10CT 0 1 25096 57570 1  1 0.1000RP   00238  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,4 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,H. GEORGE CASPARI INC,H. GEORGE CASPARI INC,CASPARI,+CSRI2 PRINT FCLTS 4PLY 10CT,9,00-01-25096-57629,12509657629,, 1,25096,57629,        +CSRI2 PRINT FCLTS 4PLY     10CT 0 1 25096 57629 1  1 0.1000RP   00239  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,4 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,H. GEORGE CASPARI INC,H. GEORGE CASPARI INC,CASPARI,+CSRI2 PRINT FCLTS 4PLY 10CT,9,00-01-25096-57630,12509657630,, 1,25096,57630,        +CSRI2 PRINT FCLTS 4PLY     10CT 0 1 25096 57630 1  1 0.1000RP   00240  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,4 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,H. GEORGE CASPARI INC,H. GEORGE CASPARI INC,CASPARI,+CSRI2 PRINT FCLTS 4PLY 10CT,9,00-01-25096-58662,12509658662,, 1,25096,58662,        +CSRI2 PRINT FCLTS 4PLY     10CT 0 1 25096 58662 1  1 0.1000RP   00241  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,4 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,H. GEORGE CASPARI INC,H. GEORGE CASPARI INC,CASPARI,+CSRI2 PRINT FCLTS 4PLY 10CT,9,00-01-25096-58663,12509658663,, 1,25096,58663,        +CSRI2 PRINT FCLTS 4PLY     10CT 0 1 25096 58663 1  1 0.1000RP   00242  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,4 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,H. GEORGE CASPARI INC,H. GEORGE CASPARI INC,CASPARI,+CSRI2 PRINT FCLTS 4PLY 10CT,9,00-01-25096-58664,12509658664,, 1,25096,58664,        +CSRI2 PRINT FCLTS 4PLY     10CT 0 1 25096 58664 1  1 0.1000RP   00243  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,4 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,H. GEORGE CASPARI INC,H. GEORGE CASPARI INC,CASPARI,+CSRI2 PRINT FCLTS 4PLY 10CT,9,00-01-25096-59318,12509659318,, 1,25096,59318,        +CSRI2 PRINT FCLTS 4PLY     10CT 0 1 25096 59318 1  1 0.1000RP   00244  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,4 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,H. GEORGE CASPARI INC,H. GEORGE CASPARI INC,CASPARI,+CSRI2 PRINT FCLTS 4PLY 10CT,9,00-01-25096-59321,12509659321,, 1,25096,59321,        +CSRI2 PRINT FCLTS 4PLY     10CT 0 1 25096 59321 1  1 0.1000RP   00245  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,4 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,H. GEORGE CASPARI INC,H. GEORGE CASPARI INC,CASPARI,+CSRI2 PRINT FCLTS 4PLY 10CT,9,00-01-25096-59323,12509659323,, 1,25096,59323,        +CSRI2 PRINT FCLTS 4PLY     10CT 0 1 25096 59323 1  1 0.1000RP   00246  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,4 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,H. GEORGE CASPARI INC,H. GEORGE CASPARI INC,CASPARI,+CSRI2 PRINT FCLTS 4PLY 10CT,9,00-01-25096-59324,12509659324,, 1,25096,59324,        +CSRI2 PRINT FCLTS 4PLY     10CT 0 1 25096 59324 1  1 0.1000RP   00247  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,4 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,H. GEORGE CASPARI INC,H. GEORGE CASPARI INC,CASPARI,+CSRI2 PRINT FCLTS 4PLY 10CT,9,00-01-25096-59326,12509659326,, 1,25096,59326,        +CSRI2 PRINT FCLTS 4PLY     10CT 0 1 25096 59326 1  1 0.1000RP   00248  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,4 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,H. GEORGE CASPARI INC,H. GEORGE CASPARI INC,CASPARI,+CSRI2 PRINT FCLTS 4PLY 10CT,9,00-01-25096-59516,12509659516,, 1,25096,59516,        +CSRI2 PRINT FCLTS 4PLY     10CT 0 1 25096 59516 1  1 0.1000RP   00249  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,4 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,H. GEORGE CASPARI INC,H. GEORGE CASPARI INC,CASPARI,+CSRI2 PRINT FCLTS 4PLY 10CT,9,00-01-25096-60184,12509660184,, 1,25096,60184,        +CSRI2 PRINT FCLTS 4PLY     10CT 0 1 25096 60184 1  1 0.1000RP   00250  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,4 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,H. GEORGE CASPARI INC,H. GEORGE CASPARI INC,CASPARI,+CSRI2 PRINT FCLTS 4PLY 10CT,9,00-01-25096-60185,12509660185,, 1,25096,60185,        +CSRI2 PRINT FCLTS 4PLY     10CT 0 1 25096 60185 1  1 0.1000RP   00251  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,4 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,HGSM CONCEPTS WORLD BAZAARS INC,HGSM CONCEPTS WORLD BAZAARS IN,NOBRAND,+NBRND WHT FCLTS 2PLY 90CT,9,07-02-28850-87905,722885087905,7, 2,28850,87905,        +NBRND WHT FCLTS 2PLY       90CT 7 2 28850 87905 1  1 0.9000RP   00255  ,0.9,FACIAL TISSUE,WHITE,POCKET SIZE,MISSING,2 PLY,TEAR OPEN,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,HGSM CONCEPTS WORLD BAZAARS INC,HGSM CONCEPTS WORLD BAZAARS IN,NOBRAND,+NBRND WHT FCLTS 2PLY 90CT,9,07-01-28850-87905,712885087905,7, 1,28850,87905,        +NBRND WHT FCLTS 2PLY       90CT 7 1 28850 87905 0= 1 0.9000RP   00256  ,0.9,FACIAL TISSUE,WHITE,POCKET SIZE,MISSING,2 PLY,TEAR OPEN,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IHR IDEAL HOME RANGE,IHR IDEAL HOME RANGE,IHR,+IHR11 PRINT FCLTS 10CT,9,06-02-86423-11551,628642311551,6, 2,86423,11551,        +IHR11 PRINT FCLTS          10CT 6 2 86423 11551 1  1 0.1000RP   00260  ,0.1,FACIAL TISSUE,PRINT,POCKET SIZE,MISSING,MISSING,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,MAJESTA,+MJSTA WHT FCLTS 2PLY 150CT,9,00-01-63435-01001,16343501001,, 1,63435, 1001,        +MJSTA WHT FCLTS 2PLY      150CT 0 1 63435  1001 1  1 1.5000RP   00264  ,1.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,MAJESTA,+MJSTA WHT FCLTS 2PLY 900CT,9,00-01-63435-01341,16343501341,, 1,63435, 1341,        +MJSTA WHT FCLTS 2PLY      900CT 0 1 63435  1341 1  1 9.0000RP   00265  ,9,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,ROYALE,+RYAL6 ASST FCLTS 2PLY 85CT,9,00-01-63435-71008,16343571008,, 1,63435,71008,        +RYAL6 ASST FCLTS 2PLY      85CT 0 1 63435 71008 1  1 0.8500RP   00267  ,0.85,FACIAL TISSUE,ASSORTED,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,ROYALE,+RYAL6 WHT FCLTS 2PLY 85CT,9,00-01-63435-71000,16343571000,, 1,63435,71000,        +RYAL6 WHT FCLTS 2PLY       85CT 0 1 63435 71000 1  1 0.8500RP   00268  ,0.85,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,ROYALE,+RYAL6 WHT FCLTS 2PLY 175CT,9,00-02-58808-17500,25880817500,, 2,58808,17500,        +RYAL6 WHT FCLTS 2PLY      175CT 0 2 58808 17500 1  1 1.7500RP   00269  ,1.75,FACIAL TISSUE,WHITE,REGULAR,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 FCLTS 1400CT,9,27-01-04200-06030,2710420006030,27, 1, 4200, 6030,        +SCT22 FCLTS              1400CT27 1  4200  6030 1  1 14.000RP   00271  ,14,FACIAL TISSUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 FCLTS 1800CT,9,27-01-04200-86360,2710420086360,27, 1, 4200,86360,        +SCT22 FCLTS              1800CT27 1  4200 86360 1  1 18.000RP   00272  ,18,FACIAL TISSUE,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 ASTCL FCLTS 2PLY 175CT,9,00-02-54000-85480,25400085480,, 2,54000,85480,        +SCT22 ASTCL FCLTS 2PLY    175CT 0 2 54000 85480 1  1 1.7500RP   00273  ,1.75,FACIAL TISSUE,ASSORTED COLORS,MISSING,MISSING,2 PLY,TOP & SIDE OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 HLDY FCLTS 2PLY 70CT,9,00-01-63435-87720,16343587720,, 1,63435,87720,        +SCT22 HLDY FCLTS 2PLY      70CT 0 1 63435 87720 1  1 0.7000RP   00274  ,0.7,FACIAL TISSUE,HOLIDAY,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 PRINT FCLTS 2PLY 150CT,9,00-01-61328-80073,16132880073,, 1,61328,80073,        +SCT22 PRINT FCLTS 2PLY    150CT 0 1 61328 80073 1  1 1.5000RP   00275  ,1.5,FACIAL TISSUE,PRINT,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 70CT,9,00-02-63435-87726,26343587726,, 2,63435,87726,        +SCT22 WHT FCLTS 2PLY       70CT 0 2 63435 87726 1  1 0.7000RP   00276  ,0.7,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 85CT,9,27-01-15610-63344,2711561063344,27, 1,15610,63344,        +SCT22 WHT FCLTS 2PLY       85CT27 1 15610 63344 1  1 0.8500RP   00277  ,0.85,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 85CT,9,00-01-63435-83750,16343583750,, 1,63435,83750,        +SCT22 WHT FCLTS 2PLY       85CT 0 1 63435 83750 1  1 0.8500RP   00278  ,0.85,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 85CT,9,00-01-63435-87850,16343587850,, 1,63435,87850,        +SCT22 WHT FCLTS 2PLY       85CT 0 1 63435 87850 1  1 0.8500RP   00279  ,0.85,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 95CT,9,00-03-54000-87000,35400087000,, 3,54000,87000,        +SCT22 WHT FCLTS 2PLY       95CT 0 3 54000 87000 1  1 0.9500RP   00280  ,0.95,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 120CT,9,00-01-63435-89010,16343589010,, 1,63435,89010,        +SCT22 WHT FCLTS 2PLY      120CT 0 1 63435 89010 1  1 1.2000RP   00281  ,1.2,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,POP-UP,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 150CT,9,00-01-61328-80003,16132880003,, 1,61328,80003,        +SCT22 WHT FCLTS 2PLY      150CT 0 1 61328 80003 1  1 1.5000RP   00282  ,1.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 150CT,9,00-01-63435-89030,16343589030,, 1,63435,89030,        +SCT22 WHT FCLTS 2PLY      150CT 0 1 63435 89030 1  1 1.5000RP   00283  ,1.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,POP-UP,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 160CT,9,27-01-15610-63343,2711561063343,27, 1,15610,63343,        +SCT22 WHT FCLTS 2PLY      160CT27 1 15610 63343 1  1 1.6000RP   00284  ,1.6,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP & SIDE OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 160CT,9,00-01-63435-85160,16343585160,, 1,63435,85160,        +SCT22 WHT FCLTS 2PLY      160CT 0 1 63435 85160 1  1 1.6000RP   00285  ,1.6,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP & SIDE OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 175CT,9,00-03-54000-85300,35400085300,, 3,54000,85300,        +SCT22 WHT FCLTS 2PLY      175CT 0 3 54000 85300 1  1 1.7500RP   00286  ,1.75,FACIAL TISSUE,WHITE,REGULAR,MISSING,2 PLY,TOP & SIDE OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 175CT,9,00-04-54000-85487,45400085487,, 4,54000,85487,        +SCT22 WHT FCLTS 2PLY      175CT 0 4 54000 85487 1  1 1.7500RP   00287  ,1.75,FACIAL TISSUE,WHITE,REGULAR,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 250CT,9,27-01-15610-80180,2711561080180,27, 1,15610,80180,        +SCT22 WHT FCLTS 2PLY      250CT27 1 15610 80180 1  1 2.5000RP   00288  ,2.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 250CT,9,00-01-61328-83004,16132883004,, 1,61328,83004,        +SCT22 WHT FCLTS 2PLY      250CT 0 1 61328 83004 1  1 2.5000RP   00289  ,2.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 250CT,9,00-01-63435-86250,16343586250,, 1,63435,86250,        +SCT22 WHT FCLTS 2PLY      250CT 0 1 63435 86250 1  1 2.5000RP   00290  ,2.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 255CT,9,00-01-63435-87853,16343587853,, 1,63435,87853,        +SCT22 WHT FCLTS 2PLY      255CT 0 1 63435 87853 1  1 2.5500RP   00291  ,2.55,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 255CT,9,00-01-63435-89005,16343589005,, 1,63435,89005,        +SCT22 WHT FCLTS 2PLY      255CT 0 1 63435 89005 1  1 2.5500RP   00292  ,2.55,FACIAL TISSUE,WHITE,REGULAR,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 275CT,9,00-01-63435-86276,16343586276,, 1,63435,86276,        +SCT22 WHT FCLTS 2PLY      275CT 0 1 63435 86276 1  1 2.7500RP   00293  ,2.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 285CT,9,00-02-63435-41641,26343541641,, 2,63435,41641,        +SCT22 WHT FCLTS 2PLY      285CT 0 2 63435 41641 1  1 2.8500RP   00294  ,2.85,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 300CT,9,00-02-54000-86300,25400086300,, 2,54000,86300,        +SCT22 WHT FCLTS 2PLY      300CT 0 2 54000 86300 1  1 3.0000RP   00295  ,3,FACIAL TISSUE,WHITE,FAMILY,MISSING,2 PLY,TOP & SIDE OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 340CT,9,00-01-63435-87804,16343587804,, 1,63435,87804,        +SCT22 WHT FCLTS 2PLY      340CT 0 1 63435 87804 1  1 3.4000MP   00296  ,3.4,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 340CT,9,00-01-63435-87854,16343587854,, 1,63435,87854,        +SCT22 WHT FCLTS 2PLY      340CT 0 1 63435 87854 1  1 3.4000BG   00297  ,3.4,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 340.0002CT,9,00-01-63435-87857,16343587857,, 1,63435,87857,        +SCT22 WHT FCLTS 2PLY 340.0002CT 0 1 63435 87857 1  1 3.4000RP   00298  ,3.4,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 380CT,9,00-01-63435-87040,16343587040,, 1,63435,87040,        +SCT22 WHT FCLTS 2PLY      380CT 0 1 63435 87040 1  1 3.8000BG   00299  ,3.8,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP & SIDE OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 480CT,9,00-01-63435-85163,16343585163,, 1,63435,85163,        +SCT22 WHT FCLTS 2PLY      480CT 0 1 63435 85163 1  1 4.8000RP   00300  ,4.8,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 525CT,9,00-01-54000-85130,15400085130,, 1,54000,85130,        +SCT22 WHT FCLTS 2PLY      525CT 0 1 54000 85130 1  1 5.2500RP   00301  ,5.25,FACIAL TISSUE,WHITE,REGULAR,MISSING,2 PLY,TOP & SIDE OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 560CT,9,27-01-04200-06391,2710420006391,27, 1, 4200, 6391,        +SCT22 WHT FCLTS 2PLY      560CT27 1  4200  6391 1  1 5.6000RP   00302  ,5.6,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 640CT,9,00-01-63435-85164,16343585164,, 1,63435,85164,        +SCT22 WHT FCLTS 2PLY      640CT 0 1 63435 85164 1  1 6.4000RP   00303  ,6.4,FACIAL TISSUE,WHITE,FAMILY,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 750CT,9,00-01-63435-86253,16343586253,, 1,63435,86253,        +SCT22 WHT FCLTS 2PLY      750CT 0 1 63435 86253 1  1 7.5000RP   00304  ,7.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 760CT,9,27-01-04200-87090,2710420087090,27, 1, 4200,87090,        +SCT22 WHT FCLTS 2PLY      760CT27 1  4200 87090 1  1 7.6000RP   00305  ,7.6,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 760CT,9,00-01-63435-87090,16343587090,, 1,63435,87090,        +SCT22 WHT FCLTS 2PLY      760CT 0 1 63435 87090 1  1 7.6000RP   00306  ,7.6,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 850CT,9,27-01-04200-11376,2710420011376,27, 1, 4200,11376,        +SCT22 WHT FCLTS 2PLY      850CT27 1  4200 11376 1  1 8.5000RP   00307  ,8.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 850CT,9,00-01-63435-87810,16343587810,, 1,63435,87810,        +SCT22 WHT FCLTS 2PLY      850CT 0 1 63435 87810 1  1 8.5000RP   00308  ,8.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,IRVING TISSUE CONVERTERS,IRVING TISSUE CONVERTERS,SCOTTIES,+SCT22 WHT FCLTS 2PLY 900CT,9,00-01-54000-86330,15400086330,, 1,54000,86330,        +SCT22 WHT FCLTS 2PLY      900CT 0 1 54000 86330 1  1 9.0000RP   00309  ,9,FACIAL TISSUE,WHITE,FAMILY,MISSING,2 PLY,TOP & SIDE OPENING,MISSING
